#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 0.000000 -1.141704 1.082064 -0.210466
 10.000000 -1.768068 0.393297 0.382724
 20.000001 -1.685171 0.917695 0.508610
 30.000001 -2.115755 2.331569 0.247640
 40.000002 -1.561010 0.786372 0.143169
 50.000002 -1.338368 2.444540 -0.263069
 60.000003 -1.641297 2.047333 -0.053549
 70.000003 -0.700294 0.429958 -0.599046
 80.000004 -1.355177 1.447292 -0.073503
 90.000004 -1.212084 0.604657 -0.207759
 100.000005 -1.338269 1.082600 0.163111
 110.000005 -0.984775 1.568239 -0.240131
 120.000006 -1.504459 2.389799 -0.316567
 130.000006 -1.911929 1.995576 -0.052149
 140.000007 -2.214505 2.176724 -0.204587
 150.000007 -2.619608 2.434353 0.171998
 160.000008 -2.090359 2.536661 -0.015292
 170.000008 -1.344458 2.312820 -0.146264
 180.000009 -1.643506 1.488021 -0.017444
 190.000009 -1.319731 1.146428 -0.082819
 200.000009 -1.987461 0.995762 0.317441
 210.000010 -1.708642 1.833251 0.152387
 220.000010 -1.526931 2.296780 -0.172871
 230.000011 -1.790296 2.035104 -0.169822
 240.000011 -2.505986 2.964090 0.044908
 250.000012 -1.710849 0.984195 0.120668
 260.000012 -2.589981 2.639170 0.039427
 270.000013 -1.470684 0.396255 0.413169
 280.000013 -2.849274 2.730935 0.046266
 290.000014 -1.724476 3.095976 -0.449001
 300.000014 -2.423659 2.439193 -0.084185
 310.000015 -1.276314 1.292772 -0.155917
 320.000015 -2.289136 2.935411 -0.250399
 330.000016 -1.664709 1.193052 -0.077552
 340.000016 -1.504207 0.884357 0.100682
 350.000017 -1.536347 1.066300 0.162937
 360.000017 -1.257812 2.558350 -0.059447
 370.000018 -1.449643 1.978593 0.554871
 380.000018 -2.838818 2.602766 -0.146933
 390.000019 -1.667904 2.753263 0.241756
 400.000019 -2.325970 2.592809 0.144710
 410.000019 -1.120038 0.208111 0.111305
 420.000020 -2.555753 2.170969 0.392315
 430.000020 -1.758267 1.495269 0.372821
 440.000021 -2.471123 0.426403 0.321550
 450.000021 -2.311705 2.144266 -0.249586
 460.000022 -1.565126 1.160556 -0.065253
 470.000022 -1.143622 1.659502 -0.488926
 480.000023 -2.270955 2.574130 -0.004257
 490.000023 -1.759750 0.369153 0.248080
 500.000024 -2.535650 2.449502 0.139570
 510.000024 -2.346547 2.174546 -0.448102
 520.000025 -1.908133 2.186994 0.295248
 530.000025 -2.789395 2.012763 -0.224503
 540.000026 -1.932599 2.119090 -0.140896
 550.000026 -1.204444 0.556851 -0.002048
 560.000027 -1.290292 0.997845 0.001354
 570.000027 -2.720932 2.230798 -0.349947
 580.000028 -2.763316 2.533038 -0.044131
 590.000028 -1.225769 0.817485 -0.201172
 600.000028 -1.127574 0.841130 -0.255527
 610.000029 -2.041269 2.200111 -0.092632
 620.000029 -1.275924 0.703855 -0.069837
 630.000030 -2.917609 2.349943 -0.036273
 640.000030 -2.413368 2.152789 0.591332
 650.000031 -1.420100 0.763485 0.198323
 660.000031 -2.234983 2.142008 0.329090
 670.000032 -2.462312 2.642290 0.327140
 680.000032 -2.156887 2.187075 0.043728
 690.000033 -1.176867 2.121369 -0.163274
 700.000033 -1.251278 0.271545 -0.038000
 710.000034 -1.215553 0.786746 0.067358
 720.000034 -1.315212 1.267543 -0.265704
 730.000035 -1.844878 2.810817 -0.294521
 740.000035 -1.376423 -0.005959 0.450698
 750.000036 -2.524311 -3.087949 0.127633
 760.000036 -2.579247 2.948051 -0.202026
 770.000037 -1.340060 0.278472 0.022179
 780.000037 -1.701413 1.024912 -0.038233
 790.000038 -2.726879 2.811146 -0.215181
 800.000038 -2.702310 -2.918461 -0.177992
 810.000038 -1.394917 0.980703 0.067692
 820.000039 -1.302944 0.830266 0.125711
 830.000039 -2.562264 2.094094 0.112870
 840.000040 -1.255313 1.223732 0.033329
 850.000040 -1.177249 1.831664 0.050010
 860.000041 -2.377015 2.496420 -0.405302
 870.000041 -2.505641 2.630708 -0.015391
 880.000042 -0.863193 2.178412 -0.327242
 890.000042 -2.595138 2.437298 0.100247
 900.000043 -1.969084 2.412093 -0.169774
 910.000043 -1.221875 0.498390 -0.065245
 920.000044 -1.362706 1.463513 -0.142338
 930.000044 -1.720424 2.109235 0.063034
 940.000045 -2.348842 2.762908 -0.181651
 950.000045 -1.380640 0.611342 0.315495
 960.000046 -2.208229 1.783467 0.227744
 970.000046 -1.688262 2.340719 0.020638
 980.000047 -1.667815 0.799560 0.308077
 990.000047 -1.617203 1.383137 0.083588
 1000.000047 -1.017199 0.984109 -0.268941
 1010.000048 -1.532788 1.594984 0.031864
 1020.000048 -1.820625 0.715243 -0.042175
 1030.000049 -1.587029 2.376945 -0.333428
 1040.000049 -1.522844 2.724738 -0.033662
 1050.000050 -1.023800 1.844054 -0.204960
 1060.000050 -2.278167 2.800818 -0.140627
 1070.000051 -1.889862 1.854685 -0.233608
 1080.000051 -1.320188 2.169259 0.100489
 1090.000052 -1.193280 2.099915 0.121618
 1100.000052 -1.615730 1.269837 0.432437
 1110.000053 -1.270318 1.269875 0.084778
 1120.000053 -2.118322 2.884887 -0.211988
