#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 0.000000 -1.141704 1.082064 -0.210466
 10.000000 -1.369176 1.979026 0.140964
 20.000001 -1.438536 1.399407 -0.021412
 30.000001 -1.164418 2.531988 -0.247547
 40.000002 -1.925286 3.103990 0.350282
 50.000002 -2.358611 2.079917 -0.238302
 60.000003 -1.585680 0.787417 0.156667
 70.000003 -2.609456 2.800515 0.297187
 80.000004 -1.512433 1.271546 0.188922
 90.000004 -2.470022 2.682572 -0.049817
 100.000005 -2.362382 2.915694 0.147370
 110.000005 -2.799661 3.031980 -0.308310
 120.000006 -1.366013 0.866579 0.556377
 130.000006 -1.715638 2.372343 0.079810
 140.000007 -0.699550 0.198081 -0.155469
 150.000007 -2.386780 2.976144 -0.273757
 160.000008 -1.061361 0.085693 -0.001823
 170.000008 -2.490652 2.078918 0.507082
 180.000009 -1.392902 1.102311 0.037158
 190.000009 -1.948023 3.122228 -0.677783
 200.000009 -2.550064 2.591284 -0.195818
 210.000010 -1.990342 -0.865237 0.042861
 220.000010 -1.157818 0.658279 0.083298
 230.000011 -1.787889 1.035889 0.292638
 240.000011 -1.270963 0.956784 -0.366760
 250.000012 -1.875027 2.576421 -0.015725
 260.000012 -1.430325 2.562927 -0.132449
 270.000013 -2.476305 1.533253 0.022420
 280.000013 -1.974538 2.556565 -0.101125
 290.000014 -2.455968 2.047259 0.214733
 300.000014 -1.410621 0.475104 0.218795
 310.000015 -1.260316 0.454484 -0.006339
 320.000015 -1.528819 0.408108 -0.118132
 330.000016 -1.294903 0.518932 0.212437
 340.000016 -0.901202 1.323147 -0.122617
 350.000017 -1.282876 1.611629 0.034292
 360.000017 -1.128409 2.330432 -0.542366
 370.000018 -1.363223 0.973143 0.305257
 380.000018 -1.733294 3.111071 -0.350683
 390.000019 -2.721010 1.337873 -0.146051
 400.000019 -2.414038 2.412046 0.325533
 410.000019 -2.200224 0.641676 -0.026006
 420.000020 -2.328283 0.684417 -0.046559
 430.000020 -1.815837 1.134727 -0.104286
 440.000021 -1.316729 2.919673 -0.344204
 450.000021 -1.303666 2.393564 -0.660441
 460.000022 -0.908455 2.243950 -0.495386
 470.000022 -1.739938 -3.105443 0.206347
 480.000023 -1.061667 2.311230 -0.025747
 490.000023 -1.516991 1.014010 0.035639
 500.000024 -2.315725 3.032466 -0.213511
 510.000024 -2.525294 0.528934 -0.171600
 520.000025 -2.037335 2.841419 0.007551
 530.000025 -1.093096 0.484115 -0.050815
 540.000026 -1.103695 1.542430 -0.327923
 550.000026 -1.705195 2.682607 -0.141109
 560.000027 -1.790385 1.436255 0.568426
 570.000027 -2.189071 2.124059 0.020842
 580.000028 -2.805837 2.251956 -0.346919
 590.000028 -1.487061 2.627666 -0.013014
 600.000028 -1.418137 -0.070900 -0.004831
 610.000029 -2.639473 -2.465786 0.257170
 620.000029 -1.589122 2.425385 -0.284709
 630.000030 -1.561585 0.131578 0.216165
 640.000030 -1.930968 2.088678 -0.428865
 650.000031 -2.523362 2.602721 -0.133938
 660.000031 -2.373671 2.963638 0.666674
 670.000032 -2.707479 0.625817 0.072539
 680.000032 -2.589301 2.229799 0.449789
 690.000033 -1.811957 0.496674 0.163069
 700.000033 -2.732100 2.615499 -0.369527
 710.000034 -1.230558 -0.231976 0.263746
 720.000034 -2.322917 0.321725 0.042050
 730.000035 -1.431340 0.231643 0.116342
 740.000035 -1.397048 1.259953 0.460538
 750.000036 -2.212002 0.429739 0.478142
 760.000036 -0.981793 -0.381125 -0.277839
 770.000037 -1.762724 -0.126557 0.494346
 780.000037 -1.317973 1.081753 -0.133026
 790.000038 -1.802042 0.690906 0.646513
 800.000038 -2.108380 2.741221 -0.372535
 810.000038 -2.915495 2.613943 -0.072477
 820.000039 -1.326008 1.068299 -0.090655
 830.000039 -1.107271 0.122656 -0.239347
 840.000040 -1.438383 1.720062 0.097202
 850.000040 -1.680051 1.566715 0.137954
 860.000041 -2.680159 2.755038 -0.044256
 870.000041 -2.332643 2.921918 -0.597714
 880.000042 -2.501257 2.692969 -0.040241
 890.000042 -2.171064 0.362956 -0.242666
 900.000043 -1.514606 0.345308 0.233023
 910.000043 -1.557566 0.689051 0.184849
 920.000044 -0.848531 1.847806 -0.205790
 930.000044 -2.627833 2.707159 -0.042458
 940.000045 -0.993750 0.150714 0.279869
 950.000045 -1.499027 1.172007 0.122016
 960.000046 -2.849771 2.513949 0.030209
 970.000046 -2.248018 2.027869 -0.053744
 980.000047 -1.478285 1.492548 -0.291448
 990.000047 -1.865702 1.087709 0.392774
 1000.000047 -1.550083 1.834044 -0.142969
 1010.000048 -2.295907 2.369291 0.056782
 1020.000048 -1.532319 1.142366 0.115658
 1030.000049 -1.990231 2.397438 -0.118342
 1040.000049 -2.770419 0.819424 0.001222
 1050.000050 1.131291 -0.038484 0.078744
 1060.000050 0.951696 0.314905 -0.264132
 1070.000051 1.340658 -0.912107 -0.427705
 1080.000051 1.237465 -1.234881 -0.288896
 1090.000052 0.958203 -1.112582 0.130121
 1100.000052 0.820554 -1.578502 0.230224
 1110.000053 0.948872 -1.010185 -0.069991
 1120.000053 1.185401 -1.047321 0.074321
 1130.000054 0.993319 -2.190548 0.031432
 1140.000054 0.837230 0.251951 0.190986
 1150.000055 -1.149175 1.579732 -0.497837
 1160.000055 -2.777540 2.927847 0.370881
 1170.000056 -1.668310 2.670038 -0.104146
 1180.000056 -2.375953 2.638765 -0.405608
 1190.000057 1.122226 -0.955412 -0.299752
 1200.000057 0.984740 -0.561072 0.094598
 1210.000057 1.100094 -0.857097 0.328334
 1220.000058 0.648857 -0.756324 0.210227
 1230.000058 0.873329 -1.137966 0.319521
 1240.000059 -1.666730 0.580398 0.024993
 1250.000059 -1.599485 2.620051 0.213674
 1260.000060 -2.007145 2.509685 -0.018187
 1270.000060 -1.217708 0.763071 -0.073294
 1280.000061 -2.014545 2.734652 -0.568853
 1290.000061 -1.627381 2.372469 -0.164935
 1300.000062 -2.279316 2.279123 -0.374950
 1310.000062 -2.455709 0.805434 -0.259416
 1320.000063 0.890717 0.230559 -0.341021
 1330.000063 -1.381412 0.795682 0.083437
 1340.000064 -2.056535 0.798355 0.092516
 1350.000064 -1.424388 0.808000 -0.181659
 1360.000065 -1.569109 2.314655 -0.188328
 1370.000065 -1.578701 1.174759 -0.047789
 1380.000066 -1.557757 1.830935 -0.178022
 1390.000066 -1.966442 2.702601 -0.465346
 1400.000066 -2.730160 2.446168 0.275934
 1410.000067 -2.166359 2.939161 -0.266720
 1420.000067 -2.650334 2.923932 -0.077953
 1430.000068 -1.342687 0.201948 0.204838
 1440.000068 -1.694500 0.748363 0.200961
 1450.000069 -2.851397 -2.426790 0.115708
 1460.000069 -2.207214 1.865228 -0.074217
 1470.000070 1.022769 -0.739127 0.517834
 1480.000070 1.169172 -0.605498 -0.133287
 1490.000071 0.751221 0.484643 -0.528998
 1500.000071 -0.983364 1.894064 -0.346706
 1510.000072 -2.500195 2.969391 -0.146329
 1520.000072 -2.240270 2.651544 0.077692
 1530.000073 -1.950199 0.813834 -0.018066
 1540.000073 -2.127445 2.682600 -0.481667
 1550.000074 -1.239576 2.303723 0.234946
 1560.000074 -2.256134 2.676682 -0.149638
 1570.000075 -1.218895 2.405179 -0.312931
 1580.000075 -2.836081 2.544487 -0.019327
 1590.000076 -2.417640 3.031514 0.090864
 1600.000076 -1.325390 1.215275 0.163174
 1610.000076 -2.659745 2.922600 0.244557
 1620.000077 -0.962054 1.876386 -0.258074
 1630.000077 -2.020335 2.666339 -0.214985
 1640.000078 -2.745618 2.803080 -0.292678
 1650.000078 -2.678881 2.459480 0.068720
 1660.000079 -1.899675 2.353627 -0.281190
 1670.000079 -1.384716 0.987888 0.397311
 1680.000080 -2.493895 2.120026 0.194578
 1690.000080 -2.061383 2.821512 0.081972
