#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 0.000000 -1.141704 1.082064 -0.210466
 5.000000 -1.885060 1.779919 0.256014
 10.000000 -1.503258 1.356691 0.139645
 15.000001 -2.548758 2.805579 -0.190763
 20.000001 -1.275535 1.468879 -0.134094
 25.000001 -2.179651 2.444330 -0.043005
 30.000001 -2.440549 2.795604 -0.053385
 35.000002 -2.462336 3.002751 0.163379
 40.000002 -2.430648 2.973591 -0.061897
 45.000002 -1.360436 0.426303 -0.117607
 50.000002 -1.676362 2.701257 -0.179303
 55.000003 -2.462854 2.486720 -0.124311
 60.000003 -2.572702 2.451535 0.086633
 65.000003 -2.602105 2.661043 -0.125307
 70.000003 -2.852779 2.533949 0.035468
 75.000004 -2.564655 2.883632 0.048645
 80.000004 -2.206596 2.256372 -0.002295
 85.000004 -1.875216 0.457792 0.184198
 90.000004 -1.386079 0.414043 -0.096804
 95.000005 -1.498755 0.932944 0.132301
 100.000005 -2.879846 -3.007918 0.089806
 105.000005 -2.892492 2.759188 -0.047031
 110.000005 -2.450388 2.974163 -0.204102
 115.000005 -2.272384 3.035265 0.066715
 120.000006 -2.153839 1.996845 0.231925
 125.000006 -1.460423 1.540758 0.315374
 130.000006 -1.888949 1.488384 0.236912
 135.000006 -2.514493 2.609565 -0.025714
 140.000007 -2.557402 2.746947 0.004226
 145.000007 -2.246874 2.528446 -0.069842
 150.000007 -2.462103 2.577593 0.163020
 155.000007 -1.100937 0.163414 -0.410722
 160.000008 -2.584220 2.936351 -0.049857
 165.000008 -2.011094 0.407959 0.187282
 170.000008 -1.615997 1.065080 0.250329
 175.000008 -1.535903 1.102161 0.288654
 180.000009 -1.249030 0.738402 -0.072224
 185.000009 -1.353132 1.134266 -0.001932
 190.000009 -1.311938 0.956812 0.250817
 195.000009 -1.501756 1.252420 -0.235480
 200.000009 -1.365846 1.415761 0.114758
 205.000010 -1.168864 0.880903 -0.014635
 210.000010 -1.638250 0.981228 0.285155
 215.000010 -1.463103 1.069215 0.211303
 220.000010 -1.281852 0.869094 0.238354
 225.000011 -1.256854 0.329128 0.011834
 230.000011 -1.339540 0.948441 0.117526
 235.000011 -1.119608 1.339027 -0.120327
 240.000011 -1.473262 0.997390 0.182832
 245.000012 -1.399216 0.826776 0.106123
 250.000012 -1.300298 0.692135 0.061176
 255.000012 -1.614338 1.368865 0.255486
 260.000012 -1.566676 1.360465 0.051198
 265.000013 -1.397963 0.498779 0.397438
 270.000013 -1.792209 2.400545 0.006051
 275.000013 -1.257348 2.241704 0.055260
 280.000013 -1.075241 1.564736 0.053461
 285.000014 -1.159985 2.068796 -0.064858
 290.000014 -1.356023 0.013466 0.075014
 295.000014 -1.358344 1.437214 0.151011
 300.000014 -2.597809 2.662477 -0.134046
 305.000014 -1.362225 0.563121 -0.108992
 310.000015 -1.520562 0.592446 0.227755
 315.000015 -1.192294 0.768256 -0.043230
 320.000015 -0.907986 0.834292 -0.052566
 325.000015 -1.479397 0.958378 -0.138585
 330.000016 -1.279053 0.518357 0.304100
 335.000016 -1.253768 1.312284 -0.308604
 340.000016 -2.499044 2.690470 0.238919
 345.000016 -2.230737 2.431126 -0.112946
 350.000017 -2.879022 2.898833 -0.136174
 355.000017 -2.618179 3.099378 -0.113799
 360.000017 -1.615204 1.209163 -0.150617
 365.000017 -1.264751 0.944201 0.055410
 370.000018 -1.319391 0.927363 0.121576
 375.000018 -1.519524 1.281454 0.019891
 380.000018 -2.364213 3.032973 -0.288586
 385.000018 -1.392418 1.192575 -0.115591
 390.000019 -1.483901 0.542387 -0.027856
 395.000019 -1.187753 1.103104 -0.135848
 400.000019 -1.338958 1.173909 -0.045571
 405.000019 -1.294706 0.826767 0.150015
 410.000019 -1.425385 0.447998 0.032805
 415.000020 -2.617252 2.306275 -0.050765
 420.000020 -2.008168 2.757989 -0.418294
 425.000020 -2.494316 2.619608 0.148341
 430.000020 -2.910293 2.998834 0.037558
 435.000021 -2.341971 2.787438 -0.088294
 440.000021 -2.340650 2.380802 0.207230
 445.000021 -1.500783 2.255216 0.060439
 450.000021 -2.272892 2.517330 -0.021192
 455.000022 -2.560136 2.860477 -0.077310
 460.000022 -2.456167 2.596595 -0.049151
 465.000022 -2.685545 2.695794 -0.126730
 470.000022 -2.392984 2.745003 0.028674
 475.000023 -2.387047 2.769499 -0.120837
 480.000023 -2.532497 2.728538 0.015517
 485.000023 -2.553580 2.545695 0.050843
 490.000023 -2.596335 2.330124 -0.215178
 495.000024 -2.415850 2.528958 0.016574
 500.000024 -1.382893 0.975726 0.319643
 505.000024 -2.572786 2.560869 -0.037680
 510.000024 -2.934790 2.231052 0.379020
 515.000024 -1.673690 0.842871 0.182726
 520.000025 -1.175669 1.388928 -0.161884
 525.000025 -1.844742 0.930922 0.217831
 530.000025 -1.236252 1.035290 -0.014793
 535.000025 -1.152292 0.705771 -0.189464
 540.000026 -1.644181 1.109124 0.181263
 545.000026 -1.454268 1.488097 -0.109659
 550.000026 -1.979332 1.585766 0.064503
 555.000026 -1.746551 2.688763 0.012719
 560.000027 -2.302130 2.414113 0.095921
 565.000027 -2.617838 2.814095 0.048370
 570.000027 -2.600520 2.556922 0.047195
 575.000027 -2.636568 2.698666 -0.002172
 580.000028 -2.482976 2.814692 0.161045
 585.000028 -2.387002 2.474510 0.021460
 590.000028 -2.817780 2.711480 0.250587
 595.000028 -2.470888 3.072613 -0.280156
 600.000028 -1.638090 2.240376 0.050986
 605.000029 -2.702369 2.658489 -0.346627
 610.000029 -1.753806 2.495815 -0.139588
 615.000029 -2.225262 2.755770 -0.080069
 620.000029 -1.282676 0.716587 0.106382
